PERIODO,COLE_BILINGUE,COLE_DEPTO_UBICACION,COLE_JORNADA,COLE_NATURALEZA,ESTU_GENERO,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,71.0,72.0,69.0,67.0,68.0,346.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,47.0,56.0,50.0,47.0,48.0,250.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,51.0,47.0,50.0,54.0,43.0,243.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,52.0,56.0,58.0,49.0,52.0,268.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,49.0,52.0,60.0,49.0,59.0,273.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,78.0,72.0,65.0,63.0,64.0,335.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,M,34.0,31.0,34.0,43.0,40.0,184.0
20172,N,BOGOTA,TARDE,OFICIAL,M,60.0,50.0,46.0,54.0,51.0,255.0
20172,N,BOGOTA,TARDE,OFICIAL,F,52.0,41.0,47.0,49.0,47.0,232.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,49.0,45.0,43.0,50.0,54.0,240.0
20172,N,BOGOTA,UNICA,OFICIAL,M,64.0,74.0,57.0,65.0,41.0,298.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,65.0,64.0,51.0,60.0,59.0,295.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,50.0,47.0,54.0,59.0,54.0,266.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,40.0,36.0,38.0,43.0,53.0,212.0
20172,,BOGOTA,MAÑANA,OFICIAL,F,55.0,56.0,54.0,56.0,66.0,289.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,32.0,39.0,34.0,39.0,39.0,187.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,M,46.0,34.0,43.0,44.0,43.0,207.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,57.0,74.0,79.0,72.0,75.0,368.0
20172,N,BOGOTA,TARDE,OFICIAL,M,59.0,54.0,55.0,56.0,51.0,272.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,58.0,56.0,41.0,60.0,55.0,267.0
20172,,BOGOTA,MAÑANA,OFICIAL,F,42.0,42.0,38.0,38.0,46.0,205.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,74.0,52.0,61.0,59.0,60.0,296.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,M,87.0,79.0,74.0,77.0,71.0,381.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,M,87.0,79.0,74.0,77.0,71.0,381.0
20172,N,BOGOTA,NOCHE,NO OFICIAL,M,36.0,54.0,48.0,47.0,54.0,248.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,61.0,55.0,53.0,57.0,58.0,281.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,44.0,51.0,53.0,54.0,54.0,262.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,47.0,47.0,42.0,45.0,44.0,223.0
20172,N,BOGOTA,TARDE,OFICIAL,F,39.0,42.0,46.0,49.0,48.0,228.0
20172,N,BOGOTA,TARDE,OFICIAL,M,74.0,82.0,66.0,72.0,74.0,368.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,65.0,55.0,60.0,62.0,65.0,304.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,60.0,53.0,61.0,62.0,61.0,297.0
20172,,BOGOTA,TARDE,OFICIAL,F,33.0,34.0,40.0,45.0,48.0,205.0
20172,,BOGOTA,SABATINA,NO OFICIAL,F,47.0,48.0,45.0,47.0,50.0,237.0
20172,,BOGOTA,TARDE,OFICIAL,F,40.0,56.0,55.0,49.0,61.0,270.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,77.0,69.0,56.0,57.0,58.0,307.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,61.0,57.0,58.0,52.0,69.0,296.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,35.0,36.0,34.0,35.0,43.0,184.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,74.0,70.0,75.0,70.0,65.0,352.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,50.0,60.0,51.0,52.0,57.0,273.0
20172,N,BOGOTA,TARDE,OFICIAL,F,62.0,66.0,66.0,61.0,63.0,319.0
20172,N,BOGOTA,NOCHE,OFICIAL,F,38.0,38.0,32.0,43.0,43.0,195.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,67.0,62.0,59.0,69.0,61.0,315.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,47.0,62.0,40.0,55.0,48.0,255.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,89.0,78.0,77.0,78.0,77.0,392.0
20181,S,BOGOTA,COMPLETA,NO OFICIAL,F,89.0,78.0,77.0,78.0,77.0,392.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,46.0,45.0,48.0,46.0,47.0,232.0
20172,N,BOGOTA,MAÑANA,NO OFICIAL,F,44.0,47.0,54.0,51.0,49.0,249.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,51.0,42.0,53.0,49.0,51.0,245.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,58.0,61.0,62.0,63.0,53.0,298.0
20171,N,BOGOTA,COMPLETA,NO OFICIAL,F,92.0,54.0,64.0,70.0,69.0,332.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,60.0,60.0,56.0,51.0,64.0,290.0
20181,,BOGOTA,COMPLETA,NO OFICIAL,F,90.0,76.0,73.0,78.0,80.0,389.0
20181,,BOGOTA,COMPLETA,NO OFICIAL,F,90.0,76.0,73.0,78.0,80.0,389.0
20172,N,BOGOTA,TARDE,OFICIAL,F,41.0,48.0,46.0,43.0,48.0,229.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,83.0,76.0,60.0,70.0,58.0,337.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,41.0,40.0,55.0,51.0,54.0,247.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,40.0,50.0,41.0,39.0,58.0,232.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,M,65.0,73.0,66.0,79.0,72.0,360.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,45.0,51.0,55.0,55.0,44.0,254.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,31.0,40.0,35.0,49.0,51.0,214.0
20181,N,BOGOTA,MAÑANA,NO OFICIAL,M,53.0,47.0,44.0,49.0,58.0,249.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,46.0,35.0,34.0,41.0,50.0,202.0
20172,N,BOGOTA,TARDE,OFICIAL,F,58.0,46.0,49.0,51.0,61.0,261.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,39.0,55.0,53.0,55.0,54.0,265.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,55.0,46.0,50.0,52.0,53.0,253.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,39.0,59.0,62.0,53.0,57.0,282.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,65.0,56.0,57.0,61.0,64.0,300.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,38.0,49.0,53.0,49.0,58.0,256.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,41.0,47.0,42.0,52.0,47.0,233.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,69.0,70.0,69.0,64.0,67.0,338.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,41.0,66.0,54.0,49.0,52.0,271.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,68.0,71.0,69.0,61.0,73.0,342.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,79.0,50.0,60.0,58.0,59.0,292.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,42.0,50.0,42.0,43.0,43.0,222.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,65.0,49.0,59.0,56.0,53.0,275.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,57.0,47.0,45.0,50.0,64.0,260.0
20172,N,BOGOTA,TARDE,OFICIAL,F,61.0,66.0,71.0,64.0,69.0,335.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,53.0,55.0,53.0,54.0,57.0,273.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,39.0,62.0,45.0,54.0,51.0,260.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,90.0,66.0,79.0,71.0,63.0,357.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,53.0,63.0,64.0,64.0,71.0,323.0
20172,N,BOGOTA,NOCHE,OFICIAL,M,44.0,44.0,58.0,42.0,56.0,248.0
20172,,BOGOTA,UNICA,OFICIAL,F,59.0,48.0,53.0,47.0,52.0,253.0
20172,N,BOGOTA,TARDE,OFICIAL,M,45.0,52.0,48.0,54.0,49.0,252.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,53.0,64.0,51.0,56.0,60.0,287.0
20172,,BOGOTA,MAÑANA,OFICIAL,M,51.0,55.0,35.0,48.0,51.0,238.0
